date,district,MAM_admissions,SAM_admissions
2019-08-01,Borama,671.0,130.0
2019-09-01,Borama,901.0,232.0
2019-10-01,Borama,625.0,254.0
2019-11-01,Borama,557.0,133.0
2019-12-01,Borama,748.0,138.0
2020-01-01,Borama,709.0,313.0
2020-02-01,Borama,917.0,181.0
2020-03-01,Borama,772.0,228.0
2020-04-01,Borama,100.0,183.0
2020-05-01,Borama,283.0,98.0
2020-06-01,Borama,1374.0,247.0
2020-07-01,Borama,1131.0,213.0
2020-08-01,Borama,787.0,226.0
2020-09-01,Borama,1485.0,253.0
2020-10-01,Borama,1003.0,267.0
2020-11-01,Borama,1260.0,226.0
2020-12-01,Borama,96.0,211.0
2021-01-01,Borama,1195.0,169.0
2021-02-01,Borama,1048.0,225.0
2021-03-01,Borama,142.0,209.0
2021-04-01,Borama,82.0,209.0
2021-05-01,Borama,1610.0,199.0
2021-06-01,Borama,1441.0,324.0
2021-07-01,Borama,230.0,591.0
2021-08-01,Borama,337.0,532.0
2021-09-01,Borama,1307.0,485.0
2021-10-01,Borama,626.0,125.0
2021-11-01,Borama,1494.0,148.0
2019-01-01,Bossaso,0.0,319.0
2019-02-01,Bossaso,0.0,291.0
2019-03-01,Bossaso,1124.0,426.0
2019-04-01,Bossaso,1032.0,383.0
2019-05-01,Bossaso,1271.0,459.0
2019-06-01,Bossaso,2609.0,525.0
2019-07-01,Bossaso,3045.0,643.0
2019-08-01,Bossaso,1198.0,411.0
2019-09-01,Bossaso,250.0,393.0
2019-10-01,Bossaso,2220.0,448.0
2019-11-01,Bossaso,1878.0,436.0
2019-12-01,Bossaso,3257.0,595.0
2020-01-01,Bossaso,80.0,622.0
2020-02-01,Bossaso,1235.0,441.0
2020-03-01,Bossaso,2816.0,478.0
2020-04-01,Bossaso,177.0,491.0
2020-05-01,Bossaso,51.0,305.0
2020-06-01,Bossaso,119.0,687.0
2020-07-01,Bossaso,699.0,578.0
2020-08-01,Bossaso,663.0,522.0
2020-09-01,Bossaso,629.0,475.0
2020-10-01,Bossaso,524.0,528.0
2020-11-01,Bossaso,615.0,517.0
2020-12-01,Bossaso,533.0,592.0
2021-01-01,Bossaso,618.0,526.0
2021-02-01,Bossaso,396.0,364.0
2021-03-01,Bossaso,798.0,440.0
2021-04-01,Bossaso,1064.0,433.0
2021-05-01,Bossaso,963.0,494.0
2021-06-01,Bossaso,1529.0,376.0
2021-07-01,Bossaso,814.0,236.0
2021-08-01,Bossaso,910.0,596.0
2021-09-01,Bossaso,1058.0,645.0
2021-10-01,Bossaso,1081.0,699.0
2021-11-01,Bossaso,1396.0,601.0
2019-01-01,Bulo Burto,0.0,56.0
2019-02-01,Bulo Burto,0.0,132.0
2019-03-01,Bulo Burto,3068.0,40.0
2019-04-01,Bulo Burto,0.0,59.0
2019-05-01,Bulo Burto,0.0,46.0
2019-06-01,Bulo Burto,0.0,105.0
2019-07-01,Bulo Burto,1851.0,92.0
2019-08-01,Bulo Burto,1701.0,63.0
2019-09-01,Bulo Burto,189.0,142.0
2019-10-01,Bulo Burto,444.0,99.0
2019-11-01,Bulo Burto,0.0,25.0
2019-12-01,Bulo Burto,445.0,0.0
2020-01-01,Bulo Burto,0.0,20.0
2020-02-01,Bulo Burto,76.0,14.0
2020-03-01,Bulo Burto,0.0,14.0
2020-04-01,Bulo Burto,2501.0,39.0
2020-05-01,Bulo Burto,0.0,28.0
2020-06-01,Bulo Burto,0.0,24.0
2020-07-01,Bulo Burto,0.0,0.0
2020-08-01,Bulo Burto,495.0,30.0
2020-09-01,Bulo Burto,,
2020-10-01,Bulo Burto,1628.0,21.0
2020-11-01,Bulo Burto,2616.0,37.0
2020-12-01,Bulo Burto,814.0,42.0
2021-01-01,Bulo Burto,1628.0,48.0
2021-02-01,Bulo Burto,966.0,26.0
2021-03-01,Bulo Burto,2604.0,20.0
2021-04-01,Bulo Burto,819.0,31.0
2021-05-01,Bulo Burto,814.0,0.0
2021-06-01,Bulo Burto,814.0,87.0
2021-07-01,Bulo Burto,814.0,55.0
2021-08-01,Bulo Burto,1628.0,215.0
2021-09-01,Bulo Burto,1628.0,64.0
2021-10-01,Bulo Burto,0.0,210.0
2021-11-01,Bulo Burto,814.0,473.0
2019-01-01,Burco,284.0,315.0
2019-02-01,Burco,76.0,179.0
2019-03-01,Burco,104.0,178.0
2019-04-01,Burco,203.0,374.0
2019-05-01,Burco,53.0,261.0
2019-06-01,Burco,0.0,76.0
2019-07-01,Burco,38.0,248.0
2019-08-01,Burco,36.0,118.0
2019-09-01,Burco,161.0,131.0
2019-10-01,Burco,167.0,104.0
2019-11-01,Burco,0.0,83.0
2019-12-01,Burco,0.0,114.0
2020-01-01,Burco,742.0,350.0
2020-02-01,Burco,1473.0,285.0
2020-03-01,Burco,718.0,351.0
2020-04-01,Burco,481.0,187.0
2020-05-01,Burco,90.0,234.0
2020-06-01,Burco,246.0,249.0
2020-07-01,Burco,642.0,275.0
2020-08-01,Burco,314.0,141.0
2020-09-01,Burco,73.0,157.0
2020-10-01,Burco,204.0,228.0
2020-11-01,Burco,1551.0,217.0
2020-12-01,Burco,219.0,127.0
2021-01-01,Burco,457.0,146.0
2021-02-01,Burco,118.0,130.0
2021-03-01,Burco,1847.0,114.0
2021-04-01,Burco,2112.0,90.0
2021-05-01,Burco,2406.0,86.0
2021-06-01,Burco,1914.0,151.0
2021-07-01,Burco,1631.0,184.0
2021-08-01,Burco,2110.0,164.0
2021-09-01,Burco,2460.0,120.0
2021-10-01,Burco,2089.0,83.0
2021-11-01,Burco,415.0,109.0
2019-01-01,Burtinle,457.0,106.0
2019-02-01,Burtinle,212.0,109.0
2019-03-01,Burtinle,0.0,107.0
2019-04-01,Burtinle,0.0,93.0
2019-05-01,Burtinle,347.0,120.0
2019-06-01,Burtinle,233.0,135.0
2019-07-01,Burtinle,263.0,171.0
2019-08-01,Burtinle,218.0,238.0
2019-09-01,Burtinle,315.0,127.0
2019-10-01,Burtinle,157.0,97.0
2019-11-01,Burtinle,60.0,89.0
2019-12-01,Burtinle,200.0,91.0
2020-01-01,Burtinle,256.0,86.0
2020-02-01,Burtinle,289.0,104.0
2020-03-01,Burtinle,126.0,98.0
2020-04-01,Burtinle,154.0,84.0
2020-05-01,Burtinle,112.0,61.0
2020-06-01,Burtinle,112.0,88.0
2020-07-01,Burtinle,171.0,75.0
2020-08-01,Burtinle,123.0,124.0
2020-09-01,Burtinle,104.0,39.0
2020-10-01,Burtinle,361.0,79.0
2020-11-01,Burtinle,252.0,190.0
2020-12-01,Burtinle,130.0,87.0
2021-01-01,Burtinle,225.0,146.0
2021-02-01,Burtinle,206.0,193.0
2021-03-01,Burtinle,212.0,112.0
2021-04-01,Burtinle,147.0,121.0
2021-05-01,Burtinle,199.0,121.0
2021-06-01,Burtinle,206.0,96.0
2021-07-01,Burtinle,246.0,129.0
2021-08-01,Burtinle,202.0,137.0
2021-09-01,Burtinle,197.0,155.0
2021-10-01,Burtinle,203.0,116.0
2021-11-01,Burtinle,271.0,146.0
2019-01-01,Buuhoodle,193.0,79.0
2019-02-01,Buuhoodle,0.0,20.0
2019-03-01,Buuhoodle,0.0,116.0
2019-04-01,Buuhoodle,0.0,55.0
2019-05-01,Buuhoodle,0.0,50.0
2019-06-01,Buuhoodle,0.0,45.0
2019-07-01,Buuhoodle,0.0,55.0
